creation_datetime,last_change_datetime,id,racer_id,race_id,qualification_place,qualification_points,place,points,punishments,extras,fastest_lap,driver_of_the_day,punishment_and_extras_description,name,total_points
2024-02-01 11:48:26.823873,2024-02-01 11:48:26.843267,69,24,4,0,0.0,1,30.0,0.0,0.0,False,False,,Racer: Gonçalo Semelhe in Race: Poiares in April 2024,30.0
2024-02-01 11:48:26.901326,2024-02-01 11:48:26.911134,70,16,4,0,0.0,1,30.0,0.0,0.0,False,False,,Racer: António Guimarães in Race: Poiares in April 2024,30.0
2024-02-01 11:48:26.942559,2024-02-01 11:48:26.952633,71,2,4,0,0.0,1,30.0,0.0,0.0,False,False,,Racer: João Couceiro in Race: Poiares in April 2024,30.0
2024-02-01 11:48:26.985957,2024-02-01 11:48:26.999963,72,12,4,0,0.0,1,30.0,0.0,0.0,False,False,,Racer: Gonçalo Garrett in Race: Poiares in April 2024,30.0
2024-02-01 11:48:27.056102,2024-02-01 11:48:27.065796,73,28,4,0,0.0,1,30.0,0.0,0.0,False,False,,Racer: Afonso Menezes in Race: Poiares in April 2024,30.0
2024-02-01 11:48:27.155753,2024-02-01 11:48:27.167368,74,29,4,0,0.0,1,30.0,0.0,0.0,False,False,,Racer: José Couceiro in Race: Poiares in April 2024,30.0
2024-02-01 11:48:27.320242,2024-02-01 11:48:27.400193,75,5,4,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Alexandre Campelo in Race: Poiares in April 2024,0.0
2024-02-01 11:48:27.442952,2024-02-01 11:48:27.459514,76,9,4,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Pedro Pacheco in Race: Poiares in April 2024,0.0
2024-02-01 11:48:27.469793,2024-02-01 11:48:27.479710,77,11,4,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Luís Dias in Race: Poiares in April 2024,0.0
2024-02-01 11:48:27.493529,2024-02-01 11:48:27.503053,78,14,4,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Tomás Marrana in Race: Poiares in April 2024,0.0
2024-02-01 11:48:27.510194,2024-02-01 11:48:27.514106,79,15,4,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: José Pedro Raimundo in Race: Poiares in April 2024,0.0
2024-02-01 11:53:42.795155,2024-02-01 11:53:42.805311,80,1,5,3,6.0,1,30.0,0.0,0.0,True,False,,Racer: Francisco Matos Gil in Race: Viana in August 2024,37.0
2024-02-01 11:53:42.872261,2024-02-01 11:53:42.885258,81,6,5,5,2.0,1,30.0,0.0,0.0,False,False,,Racer: Luís Ferreira in Race: Viana in August 2024,32.0
2024-02-01 11:53:42.946342,2024-02-01 11:53:42.955803,82,3,5,2,8.0,1,30.0,0.0,0.0,False,False,,Racer: Miguel Caeiro in Race: Viana in August 2024,38.0
2024-02-01 11:53:42.986361,2024-02-01 11:53:43.024492,83,2,5,4,5.0,1,30.0,0.0,0.0,False,False,,Racer: João Couceiro in Race: Viana in August 2024,35.0
2024-02-01 11:53:43.098954,2024-02-01 11:53:43.111573,84,5,5,1,9.0,1,30.0,0.0,0.0,False,False,,Racer: Alexandre Campelo in Race: Viana in August 2024,39.0
2024-02-01 11:53:43.185703,2024-02-01 11:53:43.204974,85,4,5,6,1.0,1,30.0,0.0,0.0,False,False,,Racer: Dinis Brito e Faro in Race: Viana in August 2024,31.0
2024-02-01 11:53:43.258187,2024-02-01 11:53:43.269224,86,9,5,8,0.0,1,30.0,0.0,0.0,False,False,,Racer: Pedro Pacheco in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.318027,2024-02-01 11:53:43.337341,87,14,5,10,0.0,1,30.0,0.0,0.0,False,False,,Racer: Tomás Marrana in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.372574,2024-02-01 11:53:43.382959,88,10,5,7,0.0,1,30.0,0.0,0.0,False,False,,Racer: Francisco Freitas in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.420285,2024-02-01 11:53:43.427717,89,7,5,9,0.0,1,30.0,0.0,0.0,False,False,,Racer: Henrique Vilas in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.464089,2024-02-01 11:53:43.480296,90,11,5,11,0.0,1,30.0,0.0,0.0,False,False,,Racer: Luís Dias in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.530294,2024-02-01 11:53:43.542367,91,12,5,14,0.0,1,30.0,0.0,0.0,False,False,,Racer: Gonçalo Garrett in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.579897,2024-02-01 11:53:43.593371,92,20,5,12,0.0,1,30.0,0.0,0.0,False,False,,Racer: Manuel Bruschy in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.657594,2024-02-01 11:53:43.668001,93,30,5,13,0.0,1,30.0,0.0,0.0,False,False,,Racer: Tomás Duarte in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.703445,2024-02-01 11:53:43.710468,94,26,5,15,0.0,1,30.0,0.0,0.0,False,False,,Racer: Tomás Pacheco in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.756272,2024-02-01 11:53:43.767243,95,31,5,16,0.0,1,30.0,0.0,0.0,False,False,,Racer: Maria Campelo in Race: Viana in August 2024,30.0
2024-02-01 11:53:43.841919,2024-02-01 11:53:43.855857,96,8,5,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Francisco Lima in Race: Viana in August 2024,0.0
2024-02-01 11:53:43.866236,2024-02-01 11:53:43.886077,97,16,5,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: António Guimarães in Race: Viana in August 2024,0.0
2024-02-01 11:53:43.896994,2024-02-01 11:53:43.903854,98,13,5,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Miguel Sousa Guedes in Race: Viana in August 2024,0.0
2024-02-01 11:53:43.916266,2024-02-01 11:53:43.929926,99,15,5,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: José Pedro Raimundo in Race: Viana in August 2024,0.0
