creation_datetime,last_change_datetime,id,racer_id,track_id,name
2024-02-01 11:48:26.567828,2024-02-01 11:48:26.567837,54,6,5,Racer: Luís Ferreira in Track: Poiares
2024-02-01 11:48:26.584195,2024-02-01 11:48:26.584201,55,7,5,Racer: Henrique Vilas in Track: Poiares
2024-02-01 11:48:26.612479,2024-02-01 11:48:26.612484,56,8,5,Racer: Francisco Lima in Track: Poiares
2024-02-01 11:48:26.697324,2024-02-01 11:48:26.697331,57,27,5,Racer: Frederico Batista in Track: Poiares
2024-02-01 11:48:26.861466,2024-02-01 11:48:26.861480,58,24,5,Racer: Gonçalo Semelhe in Track: Poiares
2024-02-01 11:48:26.920607,2024-02-01 11:48:26.920613,59,16,5,Racer: António Guimarães in Track: Poiares
2024-02-01 11:48:26.966922,2024-02-01 11:48:26.966929,60,2,5,Racer: João Couceiro in Track: Poiares
2024-02-01 11:48:27.016011,2024-02-01 11:48:27.016030,61,12,5,Racer: Gonçalo Garrett in Track: Poiares
2024-02-01 11:48:27.100900,2024-02-01 11:48:27.100912,62,28,5,Racer: Afonso Menezes in Track: Poiares
2024-02-01 11:48:27.188893,2024-02-01 11:48:27.188901,63,29,5,Racer: José Couceiro in Track: Poiares
2024-02-01 11:53:42.839112,2024-02-01 11:53:42.839140,64,1,6,Racer: Francisco Matos Gil in Track: Viana
2024-02-01 11:53:42.902061,2024-02-01 11:53:42.902071,65,6,6,Racer: Luís Ferreira in Track: Viana
2024-02-01 11:53:42.965253,2024-02-01 11:53:42.965262,66,3,6,Racer: Miguel Caeiro in Track: Viana
2024-02-01 11:53:43.052778,2024-02-01 11:53:43.052811,67,2,6,Racer: João Couceiro in Track: Viana
2024-02-01 11:53:43.142622,2024-02-01 11:53:43.142630,68,5,6,Racer: Alexandre Campelo in Track: Viana
2024-02-01 11:53:43.215130,2024-02-01 11:53:43.215138,69,4,6,Racer: Dinis Brito e Faro in Track: Viana
2024-02-01 11:53:43.289347,2024-02-01 11:53:43.289355,70,9,6,Racer: Pedro Pacheco in Track: Viana
2024-02-01 11:53:43.347792,2024-02-01 11:53:43.347799,71,14,6,Racer: Tomás Marrana in Track: Viana
2024-02-01 11:53:43.396775,2024-02-01 11:53:43.396782,72,10,6,Racer: Francisco Freitas in Track: Viana
2024-02-01 11:53:43.440261,2024-02-01 11:53:43.440268,73,7,6,Racer: Henrique Vilas in Track: Viana
2024-02-01 11:53:43.503314,2024-02-01 11:53:43.503332,74,11,6,Racer: Luís Dias in Track: Viana
2024-02-01 11:53:43.551340,2024-02-01 11:53:43.551344,75,12,6,Racer: Gonçalo Garrett in Track: Viana
2024-02-01 11:53:43.615980,2024-02-01 11:53:43.615988,76,20,6,Racer: Manuel Bruschy in Track: Viana
2024-02-01 11:53:43.677922,2024-02-01 11:53:43.677928,77,30,6,Racer: Tomás Duarte in Track: Viana
2024-02-01 11:53:43.731756,2024-02-01 11:53:43.731764,78,26,6,Racer: Tomás Pacheco in Track: Viana
2024-02-01 11:53:43.780210,2024-02-01 11:53:43.780218,79,31,6,Racer: Maria Campelo in Track: Viana
2024-02-01 11:57:44.467921,2024-02-01 11:57:44.467926,80,4,7,Racer: Dinis Brito e Faro in Track: Bombarral
2024-02-01 11:57:44.494543,2024-02-01 11:57:44.494548,81,5,7,Racer: Alexandre Campelo in Track: Bombarral
2024-02-01 11:57:44.515160,2024-02-01 11:57:44.515163,82,2,7,Racer: João Couceiro in Track: Bombarral
2024-02-01 11:57:44.538231,2024-02-01 11:57:44.538240,83,15,7,Racer: José Pedro Raimundo in Track: Bombarral
2024-02-01 11:57:44.552636,2024-02-01 11:57:44.552639,84,7,7,Racer: Henrique Vilas in Track: Bombarral
2024-02-01 11:57:44.568656,2024-02-01 11:57:44.568658,85,14,7,Racer: Tomás Marrana in Track: Bombarral
2024-02-01 11:57:44.583733,2024-02-01 11:57:44.583736,86,17,7,Racer: Gonçalo Ramalho in Track: Bombarral
2024-02-01 11:57:44.598731,2024-02-01 11:57:44.598734,87,31,7,Racer: Maria Campelo in Track: Bombarral
2024-02-01 11:57:44.610763,2024-02-01 11:57:44.610765,88,27,7,Racer: Frederico Batista in Track: Bombarral
2024-02-01 11:57:44.625560,2024-02-01 11:57:44.625566,89,30,7,Racer: Tomás Duarte in Track: Bombarral
2024-02-01 11:57:44.639471,2024-02-01 11:57:44.639473,90,28,7,Racer: Afonso Menezes in Track: Bombarral
2024-02-01 11:57:44.651258,2024-02-01 11:57:44.651260,91,25,7,Racer: José Maria Garrett in Track: Bombarral
2024-02-01 13:43:34.289591,2024-02-01 13:43:34.289786,92,1,8,Racer: Francisco Matos Gil in Track: V N Paiva
2024-02-01 13:43:34.393844,2024-02-01 13:43:34.393854,93,6,8,Racer: Luís Ferreira in Track: V N Paiva
2024-02-01 13:43:34.489047,2024-02-01 13:43:34.489057,94,4,8,Racer: Dinis Brito e Faro in Track: V N Paiva
2024-02-01 13:43:34.578459,2024-02-01 13:43:34.578468,95,2,8,Racer: João Couceiro in Track: V N Paiva
2024-02-01 13:43:34.674201,2024-02-01 13:43:34.674210,96,9,8,Racer: Pedro Pacheco in Track: V N Paiva
2024-02-01 13:43:34.802291,2024-02-01 13:43:34.802301,97,3,8,Racer: Miguel Caeiro in Track: V N Paiva
2024-02-01 13:43:34.883746,2024-02-01 13:43:34.883760,98,11,8,Racer: Luís Dias in Track: V N Paiva
2024-02-01 13:43:34.925951,2024-02-01 13:43:34.925955,99,8,8,Racer: Francisco Lima in Track: V N Paiva
2024-02-01 13:43:34.999484,2024-02-01 13:43:34.999493,100,7,8,Racer: Henrique Vilas in Track: V N Paiva
2024-02-01 13:43:35.085379,2024-02-01 13:43:35.085386,101,10,8,Racer: Francisco Freitas in Track: V N Paiva
2024-02-01 13:43:35.196675,2024-02-01 13:43:35.196684,102,5,8,Racer: Alexandre Campelo in Track: V N Paiva
2024-02-01 13:43:35.257520,2024-02-01 13:43:35.257526,103,12,8,Racer: Gonçalo Garrett in Track: V N Paiva
2024-02-01 13:43:35.363580,2024-02-01 13:43:35.363591,104,17,8,Racer: Gonçalo Ramalho in Track: V N Paiva
